date,trades,value
2001/11/16,705216,2635272335450
2001/11/19,973073,3392366590600
2001/11/20,918016,3428724206200
2001/11/21,709144,2479744534900
2001/11/22,771318,2573409569500
2001/11/23,802072,3541999979300
2001/11/26,783739,4520888618300
2001/11/27,807313,4323831690500
2001/11/28,717858,3372263680250
2001/11/29,650927,3329958090500
2001/11/30,792573,3628247108600
2001/12/03,888594,3549602829700
2001/12/04,897584,3814328992700
2001/12/05,789588,4755358526300
2001/12/06,869664,5769691059750
2001/12/07,670358,3909194880250
2001/12/10,669062,3537356656050
2001/12/11,565259,2866918055400
2001/12/12,539219,2939961025500
2001/12/13,577062,3720494717750
2001/12/14,498285,2858622051200
2001/12/17,531845,2653356544250
2001/12/18,600155,2982204816150
2001/12/19,627555,2621794817900
2001/12/20,503988,2477936704250
2001/12/21,355178,2170060702050
2001/12/24,390805,1791311189700
2001/12/26,568377,2345848624650
2001/12/27,541630,2612446127350
2001/12/28,514805,2706145133650
2002/01/02,618721,5213506880730
2002/01/03,752580,4030238096555
2002/01/04,630662,3927673970160
2002/01/07,753589,4525813839930
2002/01/08,799323,4282483357475
2002/01/09,942646,4942257957830
2002/01/10,1057131,5784036365420
2002/01/11,798940,4127768883320
2002/01/14,751476,3781663279770
2002/01/15,730824,4249567147410
2002/01/16,548370,3165634846485
2002/01/17,714740,3776301354850
2002/01/18,537672,3262920043650
2002/01/21,522465,2702212048295
2002/01/22,700489,3551371253515
2002/01/23,588836,3441060262610
2002/01/24,717441,4620574957755
2002/01/25,760386,5190297468350
2002/01/28,705795,4197757918125
2002/01/29,679201,3846725742580
2002/01/30,778489,3728197567240
2002/01/31,670587,3952310825735
2002/02/01,758400,3513708686275
2002/02/04,554917,2592917065535
2002/02/05,553696,3064655670360
2002/02/06,585578,3096052433420
2002/02/07,504378,2911200895865
2002/02/08,522879,2727478268975
2002/02/14,759498,4829851848775
2002/02/15,747938,4177709045440
2002/02/18,869360,4069947102635
2002/02/19,677906,3756761641130
2002/02/20,589389,3194616985920
2002/02/21,639435,3657926461025
2002/02/22,683505,3396104484120
2002/02/25,478974,2701630683960
2002/02/26,591104,3595844389230
2002/02/27,695057,4286200744585
2002/02/28,676070,4289132365525
2002/03/04,621760,4740234931060
2002/03/05,762958,4583901588195
2002/03/06,904900,4356226132445
2002/03/07,734593,4000192973200
2002/03/08,626575,3630835469830
2002/03/11,541713,3154340122130
2002/03/12,651580,4072441028570
2002/03/13,593072,3877809448530
2002/03/14,686322,4867614559770
2002/03/15,717113,5382567963650
2002/03/18,753887,5105894524160
2002/03/19,701778,5440282836410
2002/03/20,760329,5436766777275
2002/03/21,648152,4292105434015
2002/03/22,664129,4759219914985
2002/03/25,576101,4281893933350
2002/03/26,465575,3739692155650
2002/03/27,608037,4393250327535
2002/03/28,654126,4123659087715
2002/03/29,454918,3097139256965
2002/04/01,489777,3963099967215
2002/04/02,506168,4089392875770
2002/04/03,547821,4710599066310
2002/04/04,500371,4079271033000
2002/04/08,556228,4412066294305
2002/04/09,656987,3500911425390
2002/04/10,562308,3399761132255
2002/04/11,726329,4376119417075
2002/04/12,802882,3738148164780
2002/04/15,942710,3494700136590
2002/04/16,741695,3395124719845
2002/04/17,775594,5020395508255
2002/04/18,884764,4485398842370
2002/04/19,851675,4829840019010
2002/04/22,804784,5248370457495
2002/04/23,803273,4457633934895
2002/04/24,745379,3802090273365
2002/04/25,615701,3873731477925
2002/04/26,648921,3434018793660
2002/04/29,584423,3133480757300
2002/04/30,992265,3371091371415
2002/05/02,695008,3663695821965
2002/05/03,630183,3386002690335
2002/05/06,493877,2474286481705
2002/05/07,564492,2985156314735
2002/05/08,658847,3179834337035
2002/05/09,968372,4172611968195
2002/05/10,447522,3026127234140
2002/05/13,414170,2654642504325
2002/05/14,702627,3520755077095
2002/05/15,625594,3741892965040
2002/05/16,881741,2832299184755
2002/05/17,862082,3580379761635
2002/05/20,620172,2823457522295
2002/05/21,740654,3089547034535
2002/05/22,664461,3141218612680
2002/05/23,952260,3416821974370
2002/05/24,786317,4318863455675
2002/05/27,618475,2643627309345
2002/05/28,806576,2828192196640
2002/05/29,839177,3215182324740
2002/05/30,589170,2627412428790
2002/05/31,686763,2659453654820
2002/06/03,566885,2516057904715
2002/06/04,584330,2267562268465
2002/06/05,703392,2457491091270
2002/06/07,833273,2347085523715
2002/06/10,1128181,2118869744360
2002/06/11,952172,2215078150480
2002/06/12,615826,2609794914165
2002/06/14,596568,2183323000500
2002/06/17,645257,1807541107080
2002/06/18,661367,2205570742085
2002/06/19,687808,3009295662810
2002/06/20,834507,2419702707090
2002/06/21,773181,2370734108560
2002/06/24,614255,2637185454080
2002/06/25,660801,2372520834800
2002/06/26,605443,2875615817980
2002/06/27,894867,2518796161180
2002/06/28,640958,2691459155705
2002/07/02,430079,2376760782455
2002/07/03,415963,2334536134545
2002/07/04,1420591,2675494278365
2002/07/05,989047,3402365712060
2002/07/08,972603,3409341517630
2002/07/09,1480465,3123450724935
2002/07/10,731639,2806529078775
2002/07/11,1136289,3239455769595
2002/07/12,1805029,3521347389095
2002/07/15,1763575,3639164152945
2002/07/16,1977388,3695141873470
2002/07/18,1804749,3253742337960
2002/07/19,2149078,3714487322215
2002/07/22,1445390,2924477141740
2002/07/23,2379294,3648016665325
2002/07/24,1965409,3275588465280
